                                          
Leo       75       69       74       80       60       
Melissa       96       91       63       85       66       
Angel       84       74       68       72       61       
Ferdaws       94       98       54       63       82       
Cali       88       50       84       53       64       
Mitchell       98       56       78       67       71       
Ola       65       86       51       69       59       
Ze       74       86       64       95       73       
Alvin       51       74       50       79       96       
Cassandra       81       64       70       92       98       
Nicole       64       90       90       63       92       
Maria       64       54       78       77       93       
Patricia       70       87       86       90       67       
Fady       93       57       85       52       100       
Mohammed       87       66       66       80       69       
                                          
